id,name,Average Rating,Movie 0,Movie 1,Movie 2,Movie 3,Movie 4,Movie 5,Movie 6,Movie 7,Movie 8,Movie 9,Movie 10,Movie 11,Movie 12,Movie 13,Movie 14,Movie 15,Movie 16,Movie 17,Movie 18,Movie 19,Movie 20,Movie 21,Movie 22,Movie 23,Movie 24,Movie 25,Movie 26,Movie 27,Movie 28,Movie 29,Movie 30,Movie 31,Movie 32,Movie 33,Movie 34,Movie 35,Movie 36,Movie 37,Movie 38,Movie 39,Movie 40,Movie 41,Movie 42,Movie 43,Movie 44,Movie 45,Movie 46,Movie 47,Movie 48,Movie 49,Movie 50,Movie 51,Movie 52,Movie 53,Movie 54,Movie 55,Movie 56,Movie 57,Movie 58,Movie 59,Movie 60,Movie 61,Movie 62,Movie 63,Movie 64,Movie 65,Movie 66,Movie 67,Movie 68,Movie 69,Movie 70,Movie 71,Movie 72,Movie 73,Movie 74,Movie 75,Movie 76,Movie 77,Movie 78,Movie 79,Movie 80,Movie 81,Movie 82
118,Geoffrey Rush,6.553846153846153,12.0,211672.0,41216.0,11377.0,612.0,22.0,1865.0,58.0,285.0,4517.0,4518.0,44912.0,152742.0,1360.0,10876.0,205584.0,203833.0,11775.0,7863.0,38415.0,45269.0,46528.0,2575.0,1934.0,9824.0,9034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Dariusz Wolski,6.4263157894736835,285783.0,9566.0,6073.0,22.0,286217.0,3132.0,2088.0,12155.0,1865.0,58.0,285.0,8963.0,11096.0,109091.0,70981.0,9495.0,13027.0,147441.0,2666.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,Klaus Badelt,5.878947368421054,8665.0,5955.0,22.0,7299.0,2207.0,43935.0,9963.0,9920.0,2008.0,10800.0,9952.0,503.0,314.0,10782.0,2135.0,133698.0,31203.0,47088.0,955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,Barrie M. Osborne,7.124999999999999,28.0,9566.0,122.0,120.0,121.0,46528.0,64682.0,10013.0,603.0,754.0,10448.0,9912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Fran Walsh,7.333333333333333,49051.0,122.0,120.0,121.0,122917.0,254.0,1024.0,57158.0,7980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Philippa Boyens,7.366666666666666,49051.0,122.0,120.0,121.0,122917.0,254.0,57158.0,17654.0,7980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,J.R.R. Tolkien,7.633333333333334,49051.0,122.0,120.0,121.0,122917.0,57158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Kenny Baker,7.366666666666666,1893.0,1894.0,1895.0,1892.0,1891.0,11.0,36819.0,1955.0,279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Jake Gyllenhaal,6.590476190476189,307081.0,253412.0,45612.0,25.0,146233.0,435.0,1949.0,242582.0,9962.0,141.0,50035.0,142.0,9543.0,77016.0,5125.0,18808.0,9683.0,7445.0,31005.0,316002.0,43347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Peter Sarsgaard,6.457142857142858,8665.0,25.0,9315.0,401.0,261023.0,160588.0,8843.0,44912.0,5125.0,687.0,37834.0,13537.0,11184.0,24684.0,84329.0,9913.0,226.0,21208.0,41730.0,11468.0,9313.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Jamie Foxx,6.363999999999999,8489.0,102382.0,25.0,1538.0,196867.0,9563.0,51540.0,172385.0,68718.0,227159.0,41733.0,46195.0,16428.0,10048.0,19848.0,17332.0,117251.0,22803.0,1125.0,4349.0,19489.0,32856.0,1677.0,188161.0,14576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Bobby Cohen,6.583333333333333,25.0,4148.0,291805.0,3682.0,75656.0,8390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Sam Mercer,6.053333333333333,9741.0,2067.0,25.0,3877.0,745.0,2675.0,8645.0,11015.0,10329.0,44040.0,236751.0,6947.0,9697.0,267935.0,58595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Quentin Tarantino,6.957894736842104,5.0,680.0,187.0,285923.0,319.0,184.0,68718.0,24.0,500.0,61752.0,755.0,8068.0,273248.0,9678.0,1691.0,1690.0,16869.0,393.0,507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Uma Thurman,6.0875,4474.0,32657.0,680.0,24.0,393.0,87818.0,415.0,295964.0,22805.0,782.0,4551.0,13079.0,9899.0,77875.0,859.0,9620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
